timestamp,temp,pressure,vibration,label
2025-09-21 05:17:00,30.56,1.015,0.032,abnormal
2025-09-21 05:18:00,40.97,1.017,0.028,abnormal
2025-09-21 05:19:00,45.51,1.104,0.024,abnormal
2025-09-21 05:20:00,46.69,1.01,0.026,normal
2025-09-21 05:21:00,48.59,1.027,0.032,normal
2025-09-21 05:22:00,47.9,1.032,0.03,normal
2025-09-21 05:23:00,48.02,1.042,0.031,normal
2025-09-21 05:24:00,48.05,1.032,0.036,normal
2025-09-21 05:25:00,47.48,1.017,0.028,normal
2025-09-21 05:26:00,48.35,1.013,0.025,normal
2025-09-21 05:27:00,49.04,1.029,0.029,normal
2025-09-21 05:28:00,41.69,1.016,0.028,abnormal
2025-09-21 05:29:00,44.9,1.033,0.03,abnormal
2025-09-21 05:30:00,45.81,1.025,0.031,normal
2025-09-21 05:31:00,46.4,1.034,0.03,normal
2025-09-21 05:32:00,46.4,1.013,0.027,normal
2025-09-21 05:33:00,46.26,1.031,0.027,normal
2025-09-21 05:34:00,48.65,1.038,0.03,normal
2025-09-21 05:35:00,47.9,1.029,0.032,normal
2025-09-21 05:36:00,48.11,1.021,0.028,normal
2025-09-21 05:37:00,48.49,1.031,0.025,normal
2025-09-21 05:38:00,49.32,1.025,0.117,abnormal
2025-09-21 05:39:00,47.56,1.037,0.056,abnormal
2025-09-21 05:40:00,49.51,1.035,0.044,abnormal
2025-09-21 05:41:00,49.49,1.041,0.037,normal
2025-09-21 05:42:00,47.82,1.028,0.023,normal
2025-09-21 05:43:00,46.35,0.978,0.024,abnormal
2025-09-21 05:44:00,46.97,1.004,0.035,normal
2025-09-21 05:45:00,46.96,1.01,0.035,normal
2025-09-21 05:46:00,47.97,1.023,0.037,normal
2025-09-21 05:47:00,47.13,1.018,0.026,normal
2025-09-21 05:48:00,46.97,1.034,0.02,abnormal
2025-09-21 05:49:00,47.98,1.014,0.016,abnormal
2025-09-21 05:50:00,48.07,1.019,0.03,normal
2025-09-21 05:51:00,49.03,1.121,0.026,abnormal
2025-09-21 05:52:00,47.05,1.074,0.026,abnormal
2025-09-21 05:53:00,48.55,1.054,0.022,abnormal
2025-09-21 05:54:00,46.41,1.022,0.035,normal
2025-09-21 05:55:00,46.31,1.03,0.031,normal
2025-09-21 05:56:00,46.18,1.036,0.024,normal
2025-09-21 05:57:00,47.98,1.013,0.025,normal
2025-09-21 05:58:00,48.13,1.034,0.028,normal
2025-09-21 05:59:00,46.14,1.032,0.035,normal
2025-09-21 06:00:00,56.61,0.984,0.037,abnormal
2025-09-21 06:01:00,50.94,1.015,0.03,abnormal
2025-09-21 06:02:00,48.32,1.009,0.04,abnormal
2025-09-21 06:03:00,48.54,1.041,0.041,abnormal
2025-09-21 06:04:00,38.33,1.032,0.032,abnormal
2025-09-21 06:05:00,45.62,1.026,0.028,normal
2025-09-21 06:06:00,46.09,1.017,0.028,normal
2025-09-21 06:07:00,45.78,1.029,0.032,normal
2025-09-21 06:08:00,45.39,1.036,0.023,normal
2025-09-21 06:09:00,48.34,1.031,0.026,normal
2025-09-21 06:10:00,49.54,1.023,0.023,normal
2025-09-21 06:11:00,49.34,1.027,0.021,normal
2025-09-21 06:12:00,48.71,0.975,0.021,abnormal
2025-09-21 06:13:00,46.73,0.993,0.03,abnormal
2025-09-21 06:14:00,47.15,1.009,0.03,normal
2025-09-21 06:15:00,46.63,1.01,0.027,normal
2025-09-21 06:16:00,48.03,1.012,0.031,normal
2025-09-21 06:17:00,47.95,1.005,0.025,normal
2025-09-21 06:18:00,47.62,1.032,0.029,normal
2025-09-21 06:19:00,48.86,1.025,0.034,normal
2025-09-21 06:20:00,47.77,1.024,0.031,normal
2025-09-21 06:21:00,46.36,1.023,0.026,normal
2025-09-21 06:22:00,49.04,1.04,0.031,normal
2025-09-21 06:23:00,46.92,1.025,0.022,normal
2025-09-21 06:24:00,48.43,1.021,0.028,normal
2025-09-21 06:25:00,47.46,1.04,0.022,normal
2025-09-21 06:26:00,47.45,1.044,0.023,normal
2025-09-21 06:27:00,48.64,1.024,0.022,normal
2025-09-21 06:28:00,48.24,1.017,0.028,normal
2025-09-21 06:29:00,46.95,1.026,0.023,normal
2025-09-21 06:30:00,47.76,1.028,0.033,normal
2025-09-21 06:31:00,47.45,1.038,0.034,normal
2025-09-21 06:32:00,46.62,1.042,0.033,normal
2025-09-21 06:33:00,46.22,1.021,0.034,normal
2025-09-21 06:34:00,46.89,1.04,0.033,normal
2025-09-21 06:35:00,46.59,1.001,0.028,normal
2025-09-21 06:36:00,45.89,1.026,0.03,normal
2025-09-21 06:37:00,47.7,1.009,0.027,normal
2025-09-21 06:38:00,46.5,1.026,0.029,normal
2025-09-21 06:39:00,45.21,1.024,0.066,abnormal
2025-09-21 06:40:00,45.8,1.023,0.041,abnormal
2025-09-21 06:41:00,48.59,1.041,0.031,normal
2025-09-21 06:42:00,47.87,1.024,0.116,abnormal
2025-09-21 06:43:00,48.45,1.023,-0.021,abnormal
2025-09-21 06:44:00,47.53,1.01,0.015,abnormal
2025-09-21 06:45:00,47.22,1.026,0.026,normal
2025-09-21 06:46:00,52.19,1.016,0.029,abnormal
2025-09-21 06:47:00,49.92,1.031,0.024,normal
2025-09-21 06:48:00,47.13,1.016,0.025,normal
2025-09-21 06:49:00,48.09,1.028,0.03,normal
2025-09-21 06:50:00,47.05,1.042,0.029,normal
2025-09-21 06:51:00,45.6,1.028,0.023,normal
2025-09-21 06:52:00,47.86,1.031,0.031,normal
2025-09-21 06:53:00,49.46,1.037,0.027,normal
2025-09-21 06:54:00,46.5,1.022,0.026,normal
2025-09-21 06:55:00,46.69,1.03,0.03,normal
2025-09-21 06:56:00,46.48,1.023,0.027,normal
2025-09-21 06:57:00,48.04,1.016,0.029,normal
2025-09-21 06:58:00,49.32,1.031,0.029,normal
2025-09-21 06:59:00,48.15,1.009,0.034,normal
2025-09-21 07:00:00,48.01,1.036,0.035,normal
2025-09-21 07:01:00,47.99,1.013,0.035,normal
2025-09-21 07:02:00,47.79,1.07,0.04,abnormal
2025-09-21 07:03:00,48.77,1.042,0.04,normal
2025-09-21 07:04:00,48.7,1.03,0.036,normal
2025-09-21 07:05:00,38.04,1.024,0.032,abnormal
2025-09-21 07:06:00,43.38,1.034,0.027,abnormal
2025-09-21 07:07:00,45.64,1.041,0.035,normal
2025-09-21 07:08:00,46.75,1.023,0.036,normal
2025-09-21 07:09:00,45.81,1.122,0.037,abnormal
2025-09-21 07:10:00,47.45,1.058,0.032,abnormal
2025-09-21 07:11:00,46.97,1.042,0.033,normal
2025-09-21 07:12:00,48.83,1.029,0.034,normal
2025-09-21 07:13:00,46.61,1.006,0.032,normal
2025-09-21 07:14:00,46.01,1.026,0.118,abnormal
2025-09-21 07:15:00,47.74,1.025,0.053,abnormal
2025-09-21 07:16:00,48.62,1.009,0.034,normal
2025-09-21 07:17:00,46.63,1.029,0.03,normal
2025-09-21 07:18:00,45.76,1.023,0.036,normal
2025-09-21 07:19:00,48.52,1.128,0.028,abnormal
2025-09-21 07:20:00,46.76,1.066,0.025,abnormal
2025-09-21 07:21:00,48.79,1.056,0.02,abnormal
